k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
4,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.3777575,1.6342287500000001,1.8523325,1.8253988636363636,1.9428787500000002,2.400505
4,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.363495,1.48896125,1.6990575,1.7291239285714286,1.76782,2.5277525
4,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.52039,1.523225,1.52606,1.5320408333333333,1.53786625,1.5496725
4,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
4,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
4,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
4,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.3935075,1.464788125,1.640115,1.671435,1.7664668749999999,2.2311425
4,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.3960225,1.6388243750000002,1.9555962500000001,1.9633375,2.363035625,2.4407275
4,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5168775,1.7311912500000002,1.945505,1.8781408333333334,2.0587725,2.17204
4,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.60715,1.706906875,1.8066637500000002,1.8066637500000002,1.9064206250000002,2.0061775
4,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.38022,1.5228725,1.760355,1.7244502777777777,1.8206675,2.2281475
4,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
4,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
5,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.38591,1.511906,1.794204,1.750306,1.890891,2.360846
5,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.378746,1.612738,1.69018,1.838039076923077,2.171498,2.557738
5,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.504544,1.5476685,1.5550199999999998,1.7173443333333334,1.863861,2.177456
5,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.563198,1.6823285000000001,1.801459,1.801459,1.9205895,2.03972
5,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.371356,1.530172,1.784336,1.7158431111111112,1.826452,2.167316
5,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
5,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
5,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
5,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.38591,1.5836640000000002,1.83709,1.8035038181818182,1.9254280000000001,2.360846
5,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.381078,1.5342889999999998,1.69018,1.7460508571428572,1.762391,2.557738
5,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.504544,1.5252880000000002,1.546032,1.5343846666666667,1.549305,1.552578
5,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
