k_a,k_b,period,n_pairs,bias,sd_diff,loa_lower,loa_upper,median_abs_diff,q95_abs_diff
3,7,Prepartum,958,0.010533551545879382,0.13521988895983125,-0.2544974308153899,0.27556453390714863,0.07399428571429001,0.26469657142857084
3,7,Postpartum,124,0,0,0,0,0,0
3,8,Prepartum,958,0.012235522666269035,0.1524041640926563,-0.2864766389553373,0.3109476842878754,0.08039062500000005,0.29359016666666915
3,8,Postpartum,124,0,0,0,0,0,0
3,9,Prepartum,958,0.012587470279517518,0.16208871167798827,-0.3051064046093395,0.33028134516837454,0.08274999999999999,0.32361883333333075
3,9,Postpartum,124,0,0,0,0,0,0
3,10,Prepartum,958,0.01422677821271166,0.17332547826039352,-0.3254911591776596,0.35394471560308294,0.08588233333333495,0.33479923333332995
3,10,Postpartum,124,0,0,0,0,0,0
4,5,Prepartum,958,0.0014570163535142552,0.05706003478849624,-0.11038065183193839,0.11329468453896689,0.03170700000000004,0.11269167500000009
4,5,Postpartum,124,0,0,0,0,0,0
4,6,Prepartum,958,0.004628997912317358,0.08286245886432414,-0.15778142146175794,0.16703941728639266,0.04476625000000012,0.15898783333333003
4,6,Postpartum,124,0,0,0,0,0,0
4,7,Prepartum,958,0.005989722387911367,0.10197707312394308,-0.19388534093501705,0.2058647857108398,0.05490928571428477,0.19074523214286077
4,7,Postpartum,124,0,0,0,0,0,0
4,8,Prepartum,958,0.0076916935083010205,0.11949859497706214,-0.22652555264674076,0.2419089396633428,0.06004687499999983,0.23991443749999983
4,8,Postpartum,124,0,0,0,0,0,0
4,9,Prepartum,958,0.008043641121549502,0.13306334743937775,-0.25276051985963094,0.2688478021027299,0.06595277777777486,0.2662906250000002
4,9,Postpartum,124,0,0,0,0,0,0
4,10,Prepartum,958,0.009682949054743645,0.1447102406580466,-0.2739491226350277,0.293315020744515,0.07011147222222003,0.28269627500000005
4,10,Postpartum,124,0,0,0,0,0,0
5,6,Prepartum,958,0.0031719815588031027,0.051745139586025064,-0.09824849202980603,0.10459245514741224,0.025960166666664897,0.09973176666666948
5,6,Postpartum,124,0,0,0,0,0,0
5,7,Prepartum,958,0.004532706034397113,0.07394296471860443,-0.14039550481406754,0.14946091688286178,0.03814328571428505,0.1422909142857133
5,7,Postpartum,124,0,0,0,0,0,0
5,8,Prepartum,958,0.006234677154786765,0.09660431501492946,-0.18310978027447497,0.1955791345840485,0.04610325000000004,0.18199534999999978
5,8,Postpartum,124,0,0,0,0,0,0
5,9,Prepartum,958,0.0065866247680352475,0.10966856609668861,-0.20836376478147442,0.22153701431754494,0.053015000000000034,0.21790500000000046
5,9,Postpartum,124,0,0,0,0,0,0
5,10,Prepartum,958,0.008225932701229389,0.12352512057291282,-0.23388330362167972,0.2503351690241385,0.05913249999999992,0.24761069999999996
5,10,Postpartum,124,0,0,0,0,0,0
6,7,Prepartum,958,0.0013607244755940097,0.04139881144439698,-0.07978094595542407,0.0825023949066121,0.020687261904764997,0.08428055952381479
6,7,Postpartum,124,0,0,0,0,0,0
6,8,Prepartum,958,0.0030626955959836624,0.06466420590387931,-0.1236791479756198,0.1298045391675871,0.032172291666670016,0.13312056249999984
6,8,Postpartum,124,0,0,0,0,0,0
6,9,Prepartum,958,0.003414643209232145,0.08092025415458944,-0.15518905493376314,0.16201834135222745,0.03999833333333502,0.17105522222222244
6,9,Postpartum,124,0,0,0,0,0,0
6,10,Prepartum,958,0.005053951142426287,0.09529422465159522,-0.18172272917470034,0.19183063145955292,0.048919833333330165,0.19340706666666957
6,10,Postpartum,124,0,0,0,0,0,0
7,8,Prepartum,958,0.0017019711203896527,0.03906762500784247,-0.07487057389498158,0.07827451613576089,0.018582053571429946,0.08156644642856994
7,8,Postpartum,124,0,0,0,0,0,0
7,9,Prepartum,958,0.002053918733638135,0.05597949105398539,-0.10766588373217323,0.1117737211994495,0.02953873015873021,0.11501074603174614
7,9,Postpartum,124,0,0,0,0,0,0
7,10,Prepartum,958,0.0036932266668322773,0.07381753852044136,-0.14098914883323277,0.14837560216689732,0.036474134920635004,0.15819351428571438
7,10,Postpartum,124,0,0,0,0,0,0
8,9,Prepartum,958,3.5194761324848235e-4,0.03192223072802135,-0.06221562461367336,0.06291951984017033,0.0164268055555552,0.06744087499999699
8,9,Postpartum,124,0,0,0,0,0,0
8,10,Prepartum,958,0.001991255546442624,0.04895725377726995,-0.09396496185700648,0.09794747294989173,0.026446624999999724,0.10039454999999992
8,10,Postpartum,124,0,0,0,0,0,0
9,10,Prepartum,958,0.001639307933194142,0.029087257531373735,-0.05537171682829838,0.05865033269468666,0.01496172222222003,0.0634393277777774
9,10,Postpartum,124,0,0,0,0,0,0
