k,Outcome_group,n_obs,n_subjects,time_to_delivery_min_weeks,time_to_delivery_max_weeks,closest_pre_delivery_weeks,closest_post_delivery_weeks,sws_min,sws_q10,sws_q25,sws_median,sws_mean,sws_q75,sws_q90,sws_max,observed_min_sws,observed_min_time_min_weeks,observed_min_time_max_weeks,observed_min_visit_ids,n_min_rows,example_participant_ids,period,minimum_median_bin_left_weeks,minimum_median_bin_right_weeks,minimum_median_bin_mid_weeks,minimum_median_bin,minimum_bin_n_obs,minimum_bin_n_subjects,minimum_bin_sws_min,minimum_bin_sws_q25,minimum_bin_sws_median,minimum_bin_sws_mean,minimum_bin_sws_q75,minimum_bin_sws_max
7,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.34802714285714,1.4756034285714261,1.58914214285714,1.98112142857143,2.3019859523809516,2.6613854999999997,3.7230618000000004,4.901587,1.34802714285714,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.40092857142857,1.5086464285714252,1.66451357142857,1.700381607142855,1.8429532142857101,2.11646142857143
8,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.34018625,1.4727131250000003,1.7305262499999998,2.2696073749999996,2.59512475,3.3557782499999997,4.0744530999999995,4.901587,1.34018625,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.4639325,1.53701125,1.57876375,1.705451875,1.8074434375,2.2044875
8,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.35636125,1.5061292499999999,1.841028125,2.818272,2.8017757090909092,3.810398,4.1182666,4.468907,1.35636125,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.4639325,1.494726875,1.52552125,1.5203116666666667,1.54850125,1.57148125
8,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.34018625,1.4571709999999998,1.58809625,1.9530125,2.3036939102564102,2.6613854999999997,3.7230618000000004,4.901587,1.34018625,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38628625,1.5081212499999999,1.717925625,1.7158428125,1.8573328125,2.12220875
9,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.34416555555556,1.461845777777776,1.72455361111111,2.269754944444445,2.595353446808511,3.3557782499999997,4.0744530999999995,4.901587,1.34416555555556,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.45210111111111,1.5247041666666699,1.5706472222222199,1.6967816666666666,1.7989661111111124,2.20283222222222
9,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.36500555555556,1.492308222222222,1.815501666666665,2.818272,2.7999944262626264,3.810398,4.1182666,4.468907,1.36500555555556,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.45210111111111,1.4810433333333348,1.50998555555556,1.5115070370370367,1.54121,1.57243444444444
9,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.34416555555556,1.451110222222222,1.57623277777778,2.01004555555556,2.3067571937321945,2.6613854999999997,3.7230618000000004,4.901587,1.34416555555556,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38215555555556,1.5052936111111075,1.71478611111111,1.7171515277777776,1.8790069444444475,2.09448222222222
10,All,94,84,-9.857142857142986,9.285714285714356,-0.14285714285719564,5.000000000000078,1.33611,1.4568282,1.723347,2.2798274999999997,2.595380659574468,3.3557782499999997,4.0744530999999995,4.901587,1.33611,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.450764,1.51228425,1.55169,1.68641,1.7930819999999998,2.191621
10,FTB,55,52,-9.857142857142986,9.285714285714356,-4.000000000000014,5.000000000000078,1.356054,1.4839976,1.815918,2.818272,2.7997239818181816,3.810398,4.1182666,4.468907,1.356054,-9.000000000000007,-9.000000000000007,2,1,C504,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.450764,1.4771455,1.503527,1.5063716666666667,1.5341755,1.564824
10,sPTB,39,32,-9.857142857142787,9.000000000000128,-0.14285714285719564,6.142857142857316,1.33611,1.4426054000000001,1.5744535000000002,2.011454,2.3072041794871794,2.6613854999999997,3.7230618000000004,4.901587,1.33611,-0.8571428571428967,-0.8571428571428967,2,1,C390,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.391795,1.49666925,1.736581,1.72773975,1.89251125,2.102905
